PID,Time_Bin,Mean_RSSI,Median_RSSI,Std_RSSI,Var_RSSI,Max_RSSI,Min_RSSI,Mean_Time_Interval,Std_Time_Interval,Unique_Locations,RSSI_Count,Counterfeit
PID002D,2019-07-30 13:59:00,-64.78048086048719,-65.0,1.0009291559594753,1.4240016364860268,-54.0,-76.0,1.0119655172413795,0.005441131438409623,3,3192.0,0
PID004,2019-07-31 16:09:30,-64.4185046970293,-64.0,0.9909533333857202,1.42916546984118,-54.0,-78.0,1.0117241379310344,0.004883620961395471,2,3073.0,0
PID002E,2019-07-30 15:23:30,-64.69315375982043,-64.0,0.8748416384941832,1.0677657804094587,-54.0,-77.0,1.0090689655172416,0.0018885185895442535,1,2913.0,0
PID006,2019-08-01 15:29:30,-64.26327315036863,-64.0,0.9228211225402727,1.243197931599788,-54.0,-77.0,1.0126428571428572,0.0034663919305054024,2,2952.0,0
PID002E,2019-07-30 15:15:00,-64.48997035707487,-64.0,1.0897594085256386,1.774931344379837,-54.0,-78.0,1.0118620689655173,0.004726249932414207,3,2975.0,0
PID004,2019-07-31 16:33:30,-64.55554671382258,-64.0,1.2408221125648076,2.4069072593991017,-55.0,-77.0,1.0103928571428573,0.004340500787921484,2,2894.0,0
PID004,2019-07-31 15:54:00,-66.30351581993946,-64.0,0.8881110726079224,0.8579720040969615,-55.0,-77.0,1.1113481292852574,0.0046614199530653775,2,4287.350290838663,1
PID001,2019-07-24 10:11:30,-64.44655770405397,-64.0,1.1871587027298938,2.586069071691261,-54.0,-78.0,1.0499642857142857,0.04410717766637447,1,3957.0,0
PID002E,2019-07-30 14:44:30,-64.80353398208719,-64.0,1.3683651919086768,3.093059381571746,-54.0,-78.0,1.0173214285714285,0.007097488191208119,3,2893.0,0
PID003,2019-07-31 11:59:00,-64.82042709901424,-66.0,1.045078724921215,1.6053160083898839,-54.0,-79.0,1.0116206896551725,0.005314493613180081,3,3121.0,0
PID002D,2019-07-30 13:49:30,-64.48199131408929,-65.0,0.7417405431160938,0.77181836318156,-54.0,-74.0,1.012714285714286,0.0030894940597083987,1,2968.0,0
PID002A,2019-07-24 12:05:30,-64.44096111241431,-64.0,1.5281912797651793,3.828699954272769,-53.0,-77.0,1.018142857142857,0.010497669179444478,2,3969.0,0
PID002C,2019-07-30 13:15:00,-65.18724083662737,-65.0,1.1861701996674976,1.478094668287645,-54.0,-76.0,1.0285724017287774,0.004372079524102851,4,2501.151574917147,1
PID002C,2019-07-30 12:54:00,-64.13536074624025,-64.0,1.2765195455924367,2.490285247617019,-54.0,-77.0,1.0167241379310346,0.007362533297155552,3,2997.0,0
PID006,2019-08-01 15:22:00,-63.99738562091503,-64.0,0.9389615374194153,1.207662835249042,-53.0,-78.0,1.0127931034482758,0.005205624090105602,1,3050.0,0
PID002D,2019-07-30 13:58:30,-64.65166028097063,-64.5,0.8251050059938646,0.9901477832512313,-54.0,-76.0,1.0115,0.0040414518843273775,1,3074.0,0
PID002C,2019-07-30 13:24:30,-64.68714546157206,-65.5,1.0328850979613313,1.6683503186152664,-54.0,-77.0,1.0107586206896553,0.005316115475028976,3,3137.0,0
PID003,2019-07-31 12:01:30,-64.6485347985348,-64.0,0.8645944566236664,1.059429076670456,-54.0,-77.0,1.0108275862068965,0.003855135401709929,2,3080.0,0
PID001,2019-07-24 09:40:00,-64.82705464077637,-64.0,1.4053394104275365,3.1446088875784737,-54.0,-78.0,1.0110719987998091,0.005258779507144404,3,4837.735560114348,1
PID004,2019-07-31 16:07:00,-64.39602852635308,-64.0,0.7942532954209989,0.8446361941967081,-54.0,-77.0,1.0105,0.005203275321763612,2,2931.0,0
PID002D,2019-07-30 14:03:30,-64.27298245614035,-64.0,0.8222115194543139,0.9513756805807623,-54.0,-76.0,1.012,0.004234214381508277,1,2934.0,0
PID003,2019-07-31 12:06:00,-64.48346764346765,-64.0,0.8637502925699959,0.9919936002694624,-54.0,-77.0,1.011310344827586,0.004928803449953741,2,3113.0,0
PID006,2019-08-01 15:36:30,-64.45527032779907,-64.0,0.9155348106647923,1.2836156991532246,-54.0,-76.0,1.010214285714286,0.0029358214555806395,2,2999.0,0
PID002E,2019-07-30 15:23:00,-64.50922174445562,-64.0,1.4837262249062209,3.4174335735960866,-54.0,-77.0,1.0136071428571427,0.007324941085412345,2,2899.0,0
PID002B,2019-07-30 11:54:30,-66.69974074629654,-65.0,1.2283429042169716,2.009998681687123,-54.0,-77.0,0.849059132213821,0.008460426569268844,4,1608.042324996759,1
PID001,2019-07-24 09:56:00,-64.49098389355743,-64.5,1.2088716100536612,2.3276241051976343,-54.0,-78.0,1.0638518518518518,0.0498989006381933,2,3729.0,0
PID002C,2019-07-30 12:56:30,-64.74042067277361,-65.0,0.9184721028932272,1.1815280486840218,-54.0,-78.0,1.0125517241379312,0.0047100667791486256,3,3205.0,0
PID002C,2019-07-30 13:12:00,-64.83026734400657,-65.0,0.9767053919421815,1.3252124734826467,-54.0,-77.0,1.01175,0.004903702305023873,3,3104.0,0
PID005,2019-08-01 12:17:30,-64.38855493937193,-64.0,1.3621472590787502,2.911877809917025,-53.0,-78.0,1.0107586206896553,0.004205907175915058,2,3154.0,0
PID001,2019-07-24 10:04:30,-64.56100388740066,-64.0,1.4083813670723895,3.0830169075970866,-54.0,-78.0,1.0523333333333333,0.04404630430668306,2,3919.0,0
PID002B,2019-07-30 12:07:30,-64.61777433932606,-64.75,1.2858183983408222,2.5252150786633543,-55.0,-77.0,1.0121379310344827,0.005329996903852192,2,3145.0,0
PID001,2019-07-24 09:50:30,-64.53306436210848,-64.0,1.228645917065677,2.6381771142800554,-54.0,-78.0,1.0852592592592591,0.06629455981427633,3,3768.0,0
PID004,2019-07-31 15:49:00,-64.16766666666666,-64.0,0.8615226680902643,1.045367816091954,-55.0,-77.0,1.011758620689655,0.0043148843091078545,1,2976.0,0
PID002B,2019-07-30 11:54:00,-64.60073376773151,-65.0,0.8664775846619205,1.0899918984064412,-54.0,-78.0,1.0124827586206895,0.005481271291896558,2,3086.0,0
PID004,2019-07-31 16:02:30,-64.56256476477434,-64.0,0.7764968852438218,0.8840531190715323,-55.0,-74.0,1.0107857142857142,0.004076646614442752,1,2898.0,0
PID003,2019-07-31 11:46:00,-64.78942307692309,-66.0,0.7985718558948154,0.9107577279321504,-54.0,-79.0,1.0119655172413793,0.004338225103004109,2,3042.0,0
PID004,2019-07-31 16:19:00,-62.87264322051505,-64.0,1.456951982547657,2.7146932477336985,-55.0,-78.0,1.076701565149295,0.003965959654211835,3,3009.484157601344,1
PID002E,2019-07-30 14:54:00,-64.47246568463342,-65.0,0.8904709577381471,1.1405764662744913,-53.0,-77.0,1.0126071428571428,0.004399825633870685,1,2956.0,0
PID002E,2019-07-30 15:21:00,-64.5515950069348,-64.0,0.8832130788089357,1.0183174709455258,-55.0,-77.0,1.011,0.0032732683535399076,2,3033.0,0
PID002C,2019-07-30 13:10:00,-64.27075163398693,-65.0,1.2088755756992073,2.1007965045997503,-54.0,-76.0,1.0112068965517242,0.004203564051958334,3,3024.0,0
PID006,2019-08-01 15:56:00,-64.54714068290531,-64.0,0.923080606038281,1.0939360291271836,-54.0,-76.0,1.0115714285714283,0.004193721686915032,3,3028.0,0
PID004,2019-07-31 16:28:00,-64.07600281491906,-64.0,0.7761721106310265,0.8649341510003016,-55.0,-76.0,1.0126785714285715,0.004355104042032908,1,2842.0,0
PID002D,2019-07-30 13:49:00,-64.46551008984603,-64.25,1.241709332020579,2.5253156329403916,-54.0,-75.0,1.0185172413793102,0.010625510709255923,3,3038.0,0
PID006,2019-08-01 15:21:00,-62.93855464419552,-64.0,0.9500815855373623,0.8883083710669917,-53.0,-76.0,1.1402471150989262,0.004814540783466787,2,3194.1583082913603,1
PID004,2019-07-31 16:11:00,-64.36635407786302,-64.0,0.7616461405599574,0.7708471076404757,-54.0,-76.0,1.0101379310344827,0.003824023105233501,1,3044.0,0
PID002C,2019-07-30 13:19:00,-64.28675136116152,-65.0,0.9822936854099622,1.5760119275434656,-54.0,-77.0,1.0109285714285716,0.004553619410474486,1,2820.0,0
PID003,2019-07-31 12:09:30,-64.83836477987421,-65.0,0.9322216679360357,1.4550856647148123,-54.0,-77.0,1.0111724137931033,0.0036062343390820275,2,3049.0,0
PID005,2019-08-01 11:37:30,-64.65490720903519,-64.5,0.897693365636033,1.1374194310166228,-55.0,-78.0,1.0130000000000001,0.005617433182117584,3,2964.0,0
